@relation viterbi_ok1-weka.filters.unsupervised.attribute.TimeSeriesTranslate-R27-I-1

@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NMOD,NAME,POSTHON,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,HMOD,LGS,SUB,LOCbPRD}
@attribute IdW numeric
@attribute TotLines numeric
@attribute Prop {0.0,P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {0.0,yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {0.0,T1,R1,SP1}
@attribute TH3 {0.0,T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute Gender {f,m}
@attribute N.Syll. numeric
@attribute Tobi-1 {0.0,S,L*+H,LH-,U,H*,LL-,L*,HL-}
@attribute 'Copy of PoS-1' {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute 'Copy of DepRel-1' {TITLE,SBJ,ROOT,OBJ,NMOD,NAME,POSTHON,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,HMOD,LGS,SUB,LOCbPRD}
@attribute 'Copy of IdW-1' numeric
@attribute 'Copy of TotLines-1' numeric
@attribute 'Copy of Prop-1' {0.0,P2,Foc,P3,P4,BACK,A1,A2}
@attribute 'Copy of Emb-1' {0.0,yes,no}
@attribute 'Copy of Them-1' {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute 'Copy of TH2-1' {0.0,T1,R1,SP1}
@attribute 'Copy of TH3-1' {0.0,T1,R1}
@attribute 'Copy of TotSpans-1' numeric
@attribute 'Copy of LocSpan-1' {A,Z,B,C,U,D,E,F,G,H}
@attribute 'Copy of Gender-1' {f,m}
@attribute 'Copy of N.Syll.-1' numeric
@attribute ToBI {S,L*+H,LL-,LH-,U,H*,L*,HL-,HH-}

@data
IN,TMP,1,19,0.0,0.0,SP1,0.0,0.0,3,A,m,1,0.0,NNP,PMOD,12,13,0.0,0.0,R1,0.0,0.0,2,Z,m,1,U
NN,PMOD,2,19,0.0,0.0,SP1,0.0,0.0,3,A,m,1,U,IN,TMP,1,19,0.0,0.0,SP1,0.0,0.0,3,A,m,1,HL-
PRP,SBJ,4,19,0.0,0.0,T1,0.0,0.0,3,B,m,1,HL-,NN,PMOD,2,19,0.0,0.0,SP1,0.0,0.0,3,A,m,1,U
VBN,DEP,5,19,0.0,0.0,R1,0.0,0.0,3,Z,m,4,U,PRP,SBJ,4,19,0.0,0.0,T1,0.0,0.0,3,B,m,1,H*
DT,NMOD,6,19,0.0,0.0,R1,0.0,0.0,3,Z,m,1,H*,VBN,DEP,5,19,0.0,0.0,R1,0.0,0.0,3,Z,m,4,U
NNP,OBJ,7,19,0.0,0.0,R1,0.0,0.0,3,Z,m,2,U,DT,NMOD,6,19,0.0,0.0,R1,0.0,0.0,3,Z,m,1,L*+H
IN,ADV,8,19,0.0,0.0,R1,0.0,0.0,3,Z,m,1,L*+H,NNP,OBJ,7,19,0.0,0.0,R1,0.0,0.0,3,Z,m,2,U
CD,PMOD,9,19,A1,0.0,R1,0.0,0.0,3,Z,m,1,U,IN,ADV,8,19,0.0,0.0,R1,0.0,0.0,3,Z,m,1,S
IN,NMOD,10,19,A1,0.0,R1,0.0,0.0,3,Z,m,1,S,CD,PMOD,9,19,A1,0.0,R1,0.0,0.0,3,Z,m,1,U
DT,NMOD,11,19,A1,0.0,R1,0.0,0.0,3,Z,m,1,U,IN,NMOD,10,19,A1,0.0,R1,0.0,0.0,3,Z,m,1,U
NN,NMOD,12,19,A1,0.0,R1,0.0,0.0,3,Z,m,1,U,DT,NMOD,11,19,A1,0.0,R1,0.0,0.0,3,Z,m,1,S
RBS,AMOD,14,19,A1,0.0,R1,0.0,0.0,3,Z,m,1,S,NN,NMOD,12,19,A1,0.0,R1,0.0,0.0,3,Z,m,1,L*+H
JJ,NMOD,15,19,A1,0.0,R1,0.0,0.0,3,Z,m,2,L*+H,RBS,AMOD,14,19,A1,0.0,R1,0.0,0.0,3,Z,m,1,L*
NNS,PMOD,16,19,A1,0.0,R1,0.0,0.0,3,Z,m,5,L*,JJ,NMOD,15,19,A1,0.0,R1,0.0,0.0,3,Z,m,2,LL-
NNP,APPO,18,19,A2,0.0,R1,0.0,0.0,3,Z,m,3,LL-,NNS,PMOD,16,19,A1,0.0,R1,0.0,0.0,3,Z,m,5,LL-
DT,SBJ,1,20,0.0,0.0,T1,0.0,0.0,4,A,m,1,0.0,NNP,APPO,18,19,A2,0.0,R1,0.0,0.0,3,Z,m,3,S
VBZ,ROOT,2,20,0.0,0.0,R1,0.0,0.0,4,B,m,1,S,DT,SBJ,1,20,0.0,0.0,T1,0.0,0.0,4,A,m,1,L*+H
DT,NMOD,3,20,0.0,0.0,R1,0.0,0.0,4,B,m,1,L*+H,VBZ,ROOT,2,20,0.0,0.0,R1,0.0,0.0,4,B,m,1,U
NNP,NMOD,4,20,0.0,0.0,R1,0.0,0.0,4,B,m,2,U,DT,NMOD,3,20,0.0,0.0,R1,0.0,0.0,4,B,m,1,S
NN,PRD,5,20,0.0,0.0,R1,0.0,0.0,4,B,m,1,S,NNP,NMOD,4,20,0.0,0.0,R1,0.0,0.0,4,B,m,2,HL-
WDT,SBJ,6,20,P2,yes,R1,T1,0.0,4,C,m,1,HL-,NN,PRD,5,20,0.0,0.0,R1,0.0,0.0,4,B,m,1,U
VBD,NMOD,7,20,P2,yes,R1,R1,0.0,4,Z,m,2,U,WDT,SBJ,6,20,P2,yes,R1,T1,0.0,4,C,m,1,S
TO,OPRD,8,20,P2,yes,R1,R1,0.0,4,Z,m,1,S,VBD,NMOD,7,20,P2,yes,R1,R1,0.0,4,Z,m,2,U
VB,IM,9,20,P2,yes,R1,R1,0.0,4,Z,m,2,U,TO,OPRD,8,20,P2,yes,R1,R1,0.0,4,Z,m,1,L*+H
PRP$,NMOD,10,20,P2,yes,R1,R1,0.0,4,Z,m,1,L*+H,VB,IM,9,20,P2,yes,R1,R1,0.0,4,Z,m,2,U
JJ,NMOD,11,20,P2,yes,R1,R1,0.0,4,Z,m,1,U,PRP$,NMOD,10,20,P2,yes,R1,R1,0.0,4,Z,m,1,S
NN,OBJ,12,20,P2,yes,R1,R1,0.0,4,Z,m,2,S,JJ,NMOD,11,20,P2,yes,R1,R1,0.0,4,Z,m,1,S
IN,NMOD,13,20,P2,yes,R1,R1,0.0,4,Z,m,1,S,NN,OBJ,12,20,P2,yes,R1,R1,0.0,4,Z,m,2,U
VBG,NMOD,14,20,P2,yes,R1,R1,0.0,4,Z,m,3,U,IN,NMOD,13,20,P2,yes,R1,R1,0.0,4,Z,m,1,H*
NN,PMOD,15,20,P2,yes,R1,R1,0.0,4,Z,m,4,H*,VBG,NMOD,14,20,P2,yes,R1,R1,0.0,4,Z,m,3,LH-
NN,COORD,17,20,P2,yes,R1,R1,0.0,4,Z,m,1,LH-,NN,PMOD,15,20,P2,yes,R1,R1,0.0,4,Z,m,4,L*+H
CC,COORD,18,20,P2,yes,R1,R1,0.0,4,Z,m,1,L*+H,NN,COORD,17,20,P2,yes,R1,R1,0.0,4,Z,m,1,U
NN,CONJ,19,20,P2,yes,R1,R1,0.0,4,Z,m,2,U,CC,COORD,18,20,P2,yes,R1,R1,0.0,4,Z,m,1,LL-
RB,DEP,1,19,0.0,0.0,SP1,0.0,0.0,5,A,m,2,0.0,NN,CONJ,19,20,P2,yes,R1,R1,0.0,4,Z,m,2,L*
IN,ADV,2,19,0.0,0.0,SP1,0.0,0.0,5,A,m,1,L*,RB,DEP,1,19,0.0,0.0,SP1,0.0,0.0,5,A,m,2,LH-
DT,NMOD,4,19,0.0,0.0,T1,0.0,0.0,5,B,m,1,LH-,IN,ADV,2,19,0.0,0.0,SP1,0.0,0.0,5,A,m,1,U
VBG,NMOD,5,19,0.0,0.0,T1,0.0,0.0,5,B,m,3,U,DT,NMOD,4,19,0.0,0.0,T1,0.0,0.0,5,B,m,1,L*+H
NNS,SBJ,6,19,0.0,0.0,T1,0.0,0.0,5,B,m,2,L*+H,VBG,NMOD,5,19,0.0,0.0,T1,0.0,0.0,5,B,m,3,S
VBP,ROOT,7,19,0.0,0.0,R1,0.0,0.0,5,C,m,1,S,NNS,SBJ,6,19,0.0,0.0,T1,0.0,0.0,5,B,m,2,S
VBN,VC,8,19,0.0,0.0,R1,0.0,0.0,5,C,m,1,S,VBP,ROOT,7,19,0.0,0.0,R1,0.0,0.0,5,C,m,1,U
JJ,PRD,9,19,0.0,0.0,R1,0.0,0.0,5,C,m,2,U,VBN,VC,8,19,0.0,0.0,R1,0.0,0.0,5,C,m,1,L*+H
IN,ADV,10,19,0.0,0.0,R1,0.0,0.0,5,C,m,1,L*+H,JJ,PRD,9,19,0.0,0.0,R1,0.0,0.0,5,C,m,2,U
DT,NMOD,11,19,P2,yes,R1,T1,0.0,5,D,m,1,U,IN,ADV,10,19,0.0,0.0,R1,0.0,0.0,5,C,m,1,U
NNP,NMOD,12,19,P2,yes,R1,T1,0.0,5,D,m,3,U,DT,NMOD,11,19,P2,yes,R1,T1,0.0,5,D,m,1,L*+H
NNS,SBJ,13,19,P2,yes,R1,T1,0.0,5,D,m,1,L*+H,NNP,NMOD,12,19,P2,yes,R1,T1,0.0,5,D,m,3,S
TO,SUB,14,19,P2,yes,R1,R1,0.0,5,Z,m,1,S,NNS,SBJ,13,19,P2,yes,R1,T1,0.0,5,D,m,1,U
VB,IM,15,19,P2,yes,R1,R1,0.0,5,Z,m,2,U,TO,SUB,14,19,P2,yes,R1,R1,0.0,5,Z,m,1,H*
DT,NMOD,16,19,P2,yes,R1,R1,0.0,5,Z,m,1,H*,VB,IM,15,19,P2,yes,R1,R1,0.0,5,Z,m,2,S
JJ,NMOD,17,19,P2,yes,R1,R1,0.0,5,Z,m,2,S,DT,NMOD,16,19,P2,yes,R1,R1,0.0,5,Z,m,1,S
NN,OBJ,18,19,P2,yes,R1,R1,0.0,5,Z,m,1,S,JJ,NMOD,17,19,P2,yes,R1,R1,0.0,5,Z,m,2,LL-
RB,TMP,1,17,0.0,0.0,SP1,0.0,0.0,3,A,m,1,0.0,NN,OBJ,18,19,P2,yes,R1,R1,0.0,5,Z,m,1,H*
NNP,NMOD,2,17,0.0,0.0,T1,0.0,0.0,3,B,m,3,H*,RB,TMP,1,17,0.0,0.0,SP1,0.0,0.0,3,A,m,1,S
NNS,SBJ,3,17,0.0,0.0,T1,0.0,0.0,3,B,m,4,S,NNP,NMOD,2,17,0.0,0.0,T1,0.0,0.0,3,B,m,3,LH-
VBP,ROOT,4,17,0.0,0.0,R1,0.0,0.0,3,Z,m,1,LH-,NNS,SBJ,3,17,0.0,0.0,T1,0.0,0.0,3,B,m,4,U
VBG,VC,5,17,0.0,0.0,R1,0.0,0.0,3,Z,m,3,U,VBP,ROOT,4,17,0.0,0.0,R1,0.0,0.0,3,Z,m,1,L*+H
NN,TITLE,6,17,0.0,0.0,R1,0.0,0.0,3,Z,m,3,L*+H,VBG,VC,5,17,0.0,0.0,R1,0.0,0.0,3,Z,m,3,S
NNP,OBJ,7,17,0.0,0.0,R1,0.0,0.0,3,Z,m,1,S,NN,TITLE,6,17,0.0,0.0,R1,0.0,0.0,3,Z,m,3,L*+H
TO,OPRD,8,17,0.0,0.0,R1,0.0,0.0,3,Z,m,1,L*+H,NNP,OBJ,7,17,0.0,0.0,R1,0.0,0.0,3,Z,m,1,U
VB,IM,9,17,0.0,0.0,R1,0.0,0.0,3,Z,m,2,U,TO,OPRD,8,17,0.0,0.0,R1,0.0,0.0,3,Z,m,1,H*
IN,ADV,10,17,0.0,0.0,R1,0.0,0.0,3,Z,m,1,H*,VB,IM,9,17,0.0,0.0,R1,0.0,0.0,3,Z,m,2,S
NN,NMOD,11,17,0.0,0.0,R1,0.0,0.0,3,Z,m,3,S,IN,ADV,10,17,0.0,0.0,R1,0.0,0.0,3,Z,m,1,S
NNP,APPO,12,17,0.0,0.0,R1,0.0,0.0,3,Z,m,2,S,NN,NMOD,11,17,0.0,0.0,R1,0.0,0.0,3,Z,m,3,L*+H
NN,PMOD,14,17,0.0,0.0,R1,0.0,0.0,3,Z,m,3,L*+H,NNP,APPO,12,17,0.0,0.0,R1,0.0,0.0,3,Z,m,2,S
TO,NMOD,15,17,0.0,0.0,R1,0.0,0.0,3,Z,m,1,S,NN,PMOD,14,17,0.0,0.0,R1,0.0,0.0,3,Z,m,3,U
VBP,IM,16,17,0.0,0.0,R1,0.0,0.0,3,Z,m,2,U,TO,NMOD,15,17,0.0,0.0,R1,0.0,0.0,3,Z,m,1,LL-
DT,NMOD,1,17,0.0,0.0,T1,0.0,0.0,2,A,m,1,0.0,VBP,IM,16,17,0.0,0.0,R1,0.0,0.0,3,Z,m,2,U
NNP,NMOD,2,17,0.0,0.0,T1,0.0,0.0,2,A,m,3,U,DT,NMOD,1,17,0.0,0.0,T1,0.0,0.0,2,A,m,1,L*+H
NNP,NAME,4,17,0.0,0.0,T1,0.0,0.0,2,A,m,1,L*+H,NNP,NMOD,2,17,0.0,0.0,T1,0.0,0.0,2,A,m,3,H*
NNP,NAME,5,17,0.0,0.0,T1,0.0,0.0,2,A,m,1,H*,NNP,NAME,4,17,0.0,0.0,T1,0.0,0.0,2,A,m,1,S
NNP,NAME,6,17,0.0,0.0,T1,0.0,0.0,2,A,m,4,S,NNP,NAME,5,17,0.0,0.0,T1,0.0,0.0,2,A,m,1,S
NNP,SBJ,7,17,0.0,0.0,T1,0.0,0.0,2,A,m,2,S,NNP,NAME,6,17,0.0,0.0,T1,0.0,0.0,2,A,m,4,LH-
MD,ROOT,9,17,0.0,0.0,R1,0.0,0.0,2,Z,m,1,LH-,NNP,SBJ,7,17,0.0,0.0,T1,0.0,0.0,2,A,m,2,U
VB,VC,10,17,0.0,0.0,R1,0.0,0.0,2,Z,m,1,U,MD,ROOT,9,17,0.0,0.0,R1,0.0,0.0,2,Z,m,1,S
NN,NMOD,11,17,0.0,0.0,R1,0.0,0.0,2,Z,m,3,S,VB,VC,10,17,0.0,0.0,R1,0.0,0.0,2,Z,m,1,H*
NNS,OBJ,12,17,0.0,0.0,R1,0.0,0.0,2,Z,m,3,H*,NN,NMOD,11,17,0.0,0.0,R1,0.0,0.0,2,Z,m,3,S
NNS,OBJ,13,17,0.0,0.0,R1,0.0,0.0,2,Z,m,1,S,NNS,OBJ,12,17,0.0,0.0,R1,0.0,0.0,2,Z,m,3,H*
IN,NMOD,14,17,0.0,0.0,R1,0.0,0.0,2,Z,m,2,H*,NNS,OBJ,13,17,0.0,0.0,R1,0.0,0.0,2,Z,m,1,S
DT,NMOD,15,17,0.0,0.0,R1,0.0,0.0,2,Z,m,1,S,IN,NMOD,14,17,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U
NN,PMOD,16,17,0.0,0.0,R1,0.0,0.0,2,Z,m,1,U,DT,NMOD,15,17,0.0,0.0,R1,0.0,0.0,2,Z,m,1,LL-
NNP,SBJ,1,19,0.0,0.0,T1,0.0,0.0,2,A,m,3,0.0,NN,PMOD,16,17,0.0,0.0,R1,0.0,0.0,2,Z,m,1,H*
RB,MNR,2,19,0.0,0.0,R1,0.0,0.0,2,Z,m,2,H*,NNP,SBJ,1,19,0.0,0.0,T1,0.0,0.0,2,A,m,3,H*
VBD,ROOT,3,19,0.0,0.0,R1,0.0,0.0,2,Z,m,3,H*,RB,MNR,2,19,0.0,0.0,R1,0.0,0.0,2,Z,m,2,S
DT,NMOD,4,19,0.0,0.0,R1,0.0,0.0,2,Z,m,1,S,VBD,ROOT,3,19,0.0,0.0,R1,0.0,0.0,2,Z,m,3,U
VBG,NMOD,5,19,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U,DT,NMOD,4,19,0.0,0.0,R1,0.0,0.0,2,Z,m,1,S
NNP,NMOD,6,19,0.0,0.0,R1,0.0,0.0,2,Z,m,2,S,VBG,NMOD,5,19,0.0,0.0,R1,0.0,0.0,2,Z,m,2,S
NNS,OBJ,7,19,0.0,0.0,R1,0.0,0.0,2,Z,m,2,S,NNP,NMOD,6,19,0.0,0.0,R1,0.0,0.0,2,Z,m,2,L*+H
IN,NMOD,8,19,0.0,0.0,R1,0.0,0.0,2,Z,m,1,L*+H,NNS,OBJ,7,19,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U
JJ,NMOD,9,19,0.0,0.0,R1,0.0,0.0,2,Z,m,4,U,IN,NMOD,8,19,0.0,0.0,R1,0.0,0.0,2,Z,m,1,S
NNS,PMOD,10,19,0.0,0.0,R1,0.0,0.0,2,Z,m,1,S,JJ,NMOD,9,19,0.0,0.0,R1,0.0,0.0,2,Z,m,4,L*+H
CC,COORD,11,19,0.0,0.0,R1,0.0,0.0,2,Z,m,1,L*+H,NNS,PMOD,10,19,0.0,0.0,R1,0.0,0.0,2,Z,m,1,U
NN,CONJ,12,19,0.0,0.0,R1,0.0,0.0,2,Z,m,3,U,CC,COORD,11,19,0.0,0.0,R1,0.0,0.0,2,Z,m,1,LH-
IN,ADV,13,19,0.0,0.0,R1,0.0,0.0,2,Z,m,2,LH-,NN,CONJ,12,19,0.0,0.0,R1,0.0,0.0,2,Z,m,3,S
NNS,NMOD,15,19,0.0,0.0,R1,0.0,0.0,2,Z,m,2,S,IN,ADV,13,19,0.0,0.0,R1,0.0,0.0,2,Z,m,2,H*
NNS,PMOD,17,19,0.0,0.0,R1,0.0,0.0,2,Z,m,1,H*,NNS,NMOD,15,19,0.0,0.0,R1,0.0,0.0,2,Z,m,2,LL-
NNP,SBJ,1,15,0.0,0.0,T1,0.0,0.0,2,A,m,3,0.0,NNS,PMOD,17,19,0.0,0.0,R1,0.0,0.0,2,Z,m,1,L*+H
VBZ,ROOT,2,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,L*+H,NNP,SBJ,1,15,0.0,0.0,T1,0.0,0.0,2,A,m,3,U
RB,TMP,3,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,U,VBZ,ROOT,2,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,S
VBG,VC,4,15,0.0,0.0,R1,0.0,0.0,2,Z,m,2,S,RB,TMP,3,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,S
PRP$,NMOD,5,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,S,VBG,VC,4,15,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U
JJ,NMOD,6,15,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U,PRP$,NMOD,5,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,L*+H
NNS,OBJ,7,15,0.0,0.0,R1,0.0,0.0,2,Z,m,2,L*+H,JJ,NMOD,6,15,0.0,0.0,R1,0.0,0.0,2,Z,m,2,S
IN,LOC,8,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,S,NNS,OBJ,7,15,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U
NNP,PMOD,9,15,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U,IN,LOC,8,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,LH-
TO,PRP,10,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,LH-,NNP,PMOD,9,15,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U
VB,IM,11,15,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U,TO,PRP,10,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,H*
PRP$,NMOD,12,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,H*,VB,IM,11,15,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U
JJ,NMOD,13,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,U,PRP$,NMOD,12,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,S
NNS,OBJ,14,15,0.0,0.0,R1,0.0,0.0,2,Z,m,2,S,JJ,NMOD,13,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,HL-
NNP,TITLE,1,19,0.0,0.0,T1,0.0,0.0,4,A,m,2,0.0,NNS,OBJ,14,15,0.0,0.0,R1,0.0,0.0,2,Z,m,2,S
NNP,NMOD,2,19,0.0,0.0,T1,0.0,0.0,4,A,m,2,S,NNP,TITLE,1,19,0.0,0.0,T1,0.0,0.0,4,A,m,2,H*
NN,ROOT,4,19,0.0,0.0,T1,0.0,0.0,4,A,m,1,H*,NNP,NMOD,2,19,0.0,0.0,T1,0.0,0.0,4,A,m,2,LH-
IN,NMOD,5,19,0.0,0.0,T1,0.0,0.0,4,A,m,1,LH-,NN,ROOT,4,19,0.0,0.0,T1,0.0,0.0,4,A,m,1,U
NNS,SBJ,6,19,P2,0.0,T1,T1,0.0,4,B,m,3,U,IN,NMOD,5,19,0.0,0.0,T1,0.0,0.0,4,A,m,1,L*+H
TO,NMOD,7,19,P2,0.0,T1,T1,0.0,4,B,m,1,L*+H,NNS,SBJ,6,19,P2,0.0,T1,T1,0.0,4,B,m,3,U
NN,NMOD,9,19,P2,0.0,T1,T1,0.0,4,B,m,1,U,TO,NMOD,7,19,P2,0.0,T1,T1,0.0,4,B,m,1,H*
NN,PMOD,10,19,P2,0.0,T1,T1,0.0,4,B,m,2,H*,NN,NMOD,9,19,P2,0.0,T1,T1,0.0,4,B,m,1,LL-
MD,SUB,12,19,P2,0.0,T1,R1,0.0,4,C,m,1,LL-,NN,PMOD,10,19,P2,0.0,T1,T1,0.0,4,B,m,2,U
VB,VC,13,19,P2,0.0,T1,R1,0.0,4,C,m,2,U,MD,SUB,12,19,P2,0.0,T1,R1,0.0,4,C,m,1,L*
JJ,SBJ,14,19,P2,0.0,T1,R1,0.0,4,C,m,4,L*,VB,VC,13,19,P2,0.0,T1,R1,0.0,4,C,m,2,LH-
VBZ,OBJ,15,19,0.0,0.0,R1,0.0,0.0,4,Z,m,1,LH-,JJ,SBJ,14,19,P2,0.0,T1,R1,0.0,4,C,m,4,H*
VBN,VC,16,19,0.0,0.0,R1,0.0,0.0,4,Z,m,1,H*,VBZ,OBJ,15,19,0.0,0.0,R1,0.0,0.0,4,Z,m,1,S
TO,ADV,17,19,0.0,0.0,R1,0.0,0.0,4,Z,m,1,S,VBN,VC,16,19,0.0,0.0,R1,0.0,0.0,4,Z,m,1,U
NN,PMOD,18,19,0.0,0.0,R1,0.0,0.0,4,Z,m,2,U,TO,ADV,17,19,0.0,0.0,R1,0.0,0.0,4,Z,m,1,LL-
DT,NMOD,1,15,0.0,0.0,T1,0.0,0.0,2,A,m,1,0.0,NN,PMOD,18,19,0.0,0.0,R1,0.0,0.0,4,Z,m,2,U
JJ,NMOD,2,15,0.0,0.0,T1,0.0,0.0,2,A,m,2,U,DT,NMOD,1,15,0.0,0.0,T1,0.0,0.0,2,A,m,1,L*+H
NN,SBJ,3,15,0.0,0.0,T1,0.0,0.0,2,A,m,2,L*+H,JJ,NMOD,2,15,0.0,0.0,T1,0.0,0.0,2,A,m,2,S
VBZ,NMOD,4,15,0.0,0.0,T1,0.0,0.0,2,A,m,1,S,NN,SBJ,3,15,0.0,0.0,T1,0.0,0.0,2,A,m,2,LL-
VBG,ADV,6,15,0.0,0.0,R1,0.0,0.0,2,Z,m,4,LL-,VBZ,NMOD,4,15,0.0,0.0,T1,0.0,0.0,2,A,m,1,L*
DT,NMOD,7,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,L*,VBG,ADV,6,15,0.0,0.0,R1,0.0,0.0,2,Z,m,4,U
NN,OBJ,8,15,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U,DT,NMOD,7,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,L*+H
CC,COORD,9,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,L*+H,NN,OBJ,8,15,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U
NNS,CONJ,10,15,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U,CC,COORD,9,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,S
TO,PRP,11,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,S,NNS,CONJ,10,15,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U
VB,IM,12,15,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U,TO,PRP,11,15,0.0,0.0,R1,0.0,0.0,2,Z,m,1,H*
NN,OBJ,13,15,0.0,0.0,R1,0.0,0.0,2,Z,m,5,H*,VB,IM,12,15,0.0,0.0,R1,0.0,0.0,2,Z,m,2,LL-
PRP,SBJ,1,11,0.0,0.0,T1,0.0,0.0,2,A,m,1,0.0,NN,OBJ,13,15,0.0,0.0,R1,0.0,0.0,2,Z,m,5,U
VBZ,ROOT,2,11,0.0,0.0,R1,0.0,0.0,2,Z,m,1,U,PRP,SBJ,1,11,0.0,0.0,T1,0.0,0.0,2,A,m,1,L*+H
VBN,VC,4,11,0.0,0.0,R1,0.0,0.0,2,Z,m,1,L*+H,VBZ,ROOT,2,11,0.0,0.0,R1,0.0,0.0,2,Z,m,1,U
JJ,PRD,5,11,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U,VBN,VC,4,11,0.0,0.0,R1,0.0,0.0,2,Z,m,1,S
TO,AMOD,6,11,0.0,0.0,R1,0.0,0.0,2,Z,m,1,S,JJ,PRD,5,11,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U
VB,IM,7,11,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U,TO,AMOD,6,11,0.0,0.0,R1,0.0,0.0,2,Z,m,1,LL-
DT,NMOD,8,11,0.0,0.0,R1,0.0,0.0,2,Z,m,1,LL-,VB,IM,7,11,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U
NNP,NMOD,9,11,0.0,0.0,R1,0.0,0.0,2,Z,m,2,U,DT,NMOD,8,11,0.0,0.0,R1,0.0,0.0,2,Z,m,1,H*
NN,OBJ,10,11,0.0,0.0,R1,0.0,0.0,2,Z,m,2,H*,NNP,NMOD,9,11,0.0,0.0,R1,0.0,0.0,2,Z,m,2,LL-
JJ,NMOD,1,16,0.0,0.0,T1,0.0,0.0,2,A,m,2,0.0,NN,OBJ,10,11,0.0,0.0,R1,0.0,0.0,2,Z,m,2,H*
NNS,SBJ,2,16,0.0,0.0,T1,0.0,0.0,2,A,m,2,H*,JJ,NMOD,1,16,0.0,0.0,T1,0.0,0.0,2,A,m,2,LL-
VBG,NMOD,4,16,0.0,0.0,T1,0.0,0.0,2,A,m,3,LL-,NNS,SBJ,2,16,0.0,0.0,T1,0.0,0.0,2,A,m,2,S
NNP,NAME,5,16,0.0,0.0,T1,0.0,0.0,2,A,m,1,S,VBG,NMOD,4,16,0.0,0.0,T1,0.0,0.0,2,A,m,3,S
NNP,PMOD,6,16,0.0,0.0,T1,0.0,0.0,2,A,m,3,S,NNP,NAME,5,16,0.0,0.0,T1,0.0,0.0,2,A,m,1,LH-
MD,ROOT,8,16,0.0,0.0,R1,0.0,0.0,2,Z,m,1,LH-,NNP,PMOD,6,16,0.0,0.0,T1,0.0,0.0,2,A,m,3,L*
VB,VC,9,16,0.0,0.0,R1,0.0,0.0,2,Z,m,1,L*,MD,ROOT,8,16,0.0,0.0,R1,0.0,0.0,2,Z,m,1,U
