@relation std_tobi_adv_them_n-weka.filters.unsupervised.attribute.TimeSeriesTranslate-R26-I-1

@attribute W numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,0.0,NNS,HYPH,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,c,CC,RBR,cc,VBG,VBP,PDT,WP,POS,JJR,RP,:,WRB,(,),WDT,RBS,EX,JJS,NNPS,$}
@attribute Id numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,P,NMOD,HYPH,NAME,POSTHON,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,SUFFIX,MNR,PRP,PRT,HMOD,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute nWSpan numeric
@attribute 'Copy of W-1' numeric
@attribute 'Copy of TotLines-1' numeric
@attribute 'Copy of PoS-1' {NNP,VBZ,0.0,NNS,HYPH,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,c,CC,RBR,cc,VBG,VBP,PDT,WP,POS,JJR,RP,:,WRB,(,),WDT,RBS,EX,JJS,NNPS,$}
@attribute 'Copy of Id-1' numeric
@attribute 'Copy of DepRel-1' {TITLE,SBJ,ROOT,OBJ,P,NMOD,HYPH,NAME,POSTHON,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,SUFFIX,MNR,PRP,PRT,HMOD,LGS,SUB,LOCbPRD}
@attribute 'Copy of Prop-1' {P2,Foc,P3,P4,BACK,A1,A2}
@attribute 'Copy of Emb-1' {yes,no}
@attribute 'Copy of Them-1' {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute 'Copy of TH2-1' {T1,R1,SP1}
@attribute 'Copy of TH3-1' {T1,R1}
@attribute 'Copy of TotSpans-1' numeric
@attribute 'Copy of LocSpan-1' {A,Z,B,C,U,D,E,F,G,H}
@attribute 'Copy of nWSpan-1' numeric
@attribute TOBI-1 {L+H*,LH-,LL-,L*L-,H*,L*+H,L*H-,L*,H*LH-,H+L*,HL-,H+,H*L-,HH-,L*+HL-,H*+L,'L*+H LH-',Hl-,+H,L-,H*+LH-,!H*,H+L*L-,L*+HLH-,H*H-,H+L*LH-,+L,H++,Lh-,H+L*H-,1.0,L*LH-}
@attribute tobi {L+H*,LH-,LL-,L*L-,H*,L*+H,L*H-,L*,H*LH-,H+L*,HL-,H+,H*L-,HH-,L*+HL-,H*+L,'L*+H LH-',Hl-,+H,L-,H*+LH-,!H*,H+L*L-,L*+HLH-,H*H-,H+L*LH-,+L,H++,Lh-,H+L*H-,1.0,L*LH-}

@data
9,18,NN,5,OBJ,?,?,T1,?,?,3,C,7,8,18,POS,7,SUFFIX,?,?,T1,?,?,3,C,7,?,HL-
10,18,CC,9,COORD,?,?,T1,?,?,3,C,7,9,18,NN,5,OBJ,?,?,T1,?,?,3,C,7,HL-,H*
11,18,PRP$,12,NMOD,?,?,T1,?,?,3,C,7,10,18,CC,9,COORD,?,?,T1,?,?,3,C,7,H*,?
12,18,NNS,10,CONJ,?,?,T1,?,?,3,C,7,11,18,PRP$,12,NMOD,?,?,T1,?,?,3,C,7,?,LH-
13,18,IN,5,ADV,?,?,R1-2,?,?,3,Z,6,12,18,NNS,10,CONJ,?,?,T1,?,?,3,C,7,LH-,?
14,18,RB,15,AMOD,?,?,R1-2,?,?,3,Z,6,13,18,IN,5,ADV,?,?,R1-2,?,?,3,Z,6,?,L*
15,18,JJ,13,PMOD,?,?,R1-2,?,?,3,Z,6,14,18,RB,15,AMOD,?,?,R1-2,?,?,3,Z,6,L*,LH-
16,18,CC,15,COORD,?,?,R1-2,?,?,3,Z,6,15,18,JJ,13,PMOD,?,?,R1-2,?,?,3,Z,6,LH-,?
17,18,JJ,16,CONJ,?,?,R1-2,?,?,3,Z,6,16,18,CC,15,COORD,?,?,R1-2,?,?,3,Z,6,?,H*L-
18,18,0.0,3,P,?,?,R1-2,?,?,3,Z,6,17,18,JJ,16,CONJ,?,?,R1-2,?,?,3,Z,6,H*L-,?
1,12,PRP,2,SBJ,P2,no,T1,?,?,7,A,1,18,18,0.0,3,P,?,?,R1-2,?,?,3,Z,6,?,?
2,12,VBZ,0,ROOT,P2,no,R1,?,?,7,B,2,1,12,PRP,2,SBJ,P2,no,T1,?,?,7,A,1,?,H*
3,12,IN,2,ADV,P2,no,R1,?,?,7,B,2,2,12,VBZ,0,ROOT,P2,no,R1,?,?,7,B,2,H*,?
4,12,WP,6,OBJ,P3,yes,T1,?,?,7,C,1,3,12,IN,2,ADV,P2,no,R1,?,?,7,B,2,?,?
5,12,PRP,6,SBJ,P3,yes,R1,?,?,7,D,3,4,12,WP,6,OBJ,P3,yes,T1,?,?,7,C,1,?,?
6,12,VBZ,3,PMOD,P3,yes,R1,?,?,7,D,3,5,12,PRP,6,SBJ,P3,yes,R1,?,?,7,D,3,?,LL-
7,12,c,2,P,P3,yes,R1,?,?,7,D,3,6,12,VBZ,3,PMOD,P3,yes,R1,?,?,7,D,3,LL-,?
8,12,CC,2,COORD,P4,no,SP1,?,?,7,E,1,7,12,c,2,P,P3,yes,R1,?,?,7,D,3,?,?
9,12,PRP,10,SBJ,P4,no,T1,?,?,7,F,1,8,12,CC,2,COORD,P4,no,SP1,?,?,7,E,1,?,?
10,12,VBZ,8,CONJ,P4,no,R1,?,?,7,Z,3,9,12,PRP,10,SBJ,P4,no,T1,?,?,7,F,1,?,H*
11,12,RB,10,MNR,P4,no,R1,?,?,7,Z,3,10,12,VBZ,8,CONJ,P4,no,R1,?,?,7,Z,3,H*,LL-
12,12,0.0,2,P,P4,no,R1,?,?,7,Z,3,11,12,RB,10,MNR,P4,no,R1,?,?,7,Z,3,LL-,?
1,21,PRP$,3,NMOD,?,?,T1,?,?,2,A,15,12,12,0.0,2,P,P4,no,R1,?,?,7,Z,3,?,?
2,21,JJ,3,NMOD,?,?,T1,?,?,2,A,15,1,21,PRP$,3,NMOD,?,?,T1,?,?,2,A,15,?,L*+H
3,21,NN,9,SBJ,?,?,T1,?,?,2,A,15,2,21,JJ,3,NMOD,?,?,T1,?,?,2,A,15,L*+H,HL-
4,21,IN,3,LOC,?,?,T1,?,?,2,A,15,3,21,NN,9,SBJ,?,?,T1,?,?,2,A,15,HL-,?
5,21,DT,7,NMOD,?,?,T1,?,?,2,A,15,4,21,IN,3,LOC,?,?,T1,?,?,2,A,15,?,?
6,21,NNP,7,NAME,?,?,T1,?,?,2,A,15,5,21,DT,7,NMOD,?,?,T1,?,?,2,A,15,?,?
7,21,NNP,4,PMOD,?,?,T1,?,?,2,A,15,6,21,NNP,7,NAME,?,?,T1,?,?,2,A,15,?,HL-
8,21,c,3,P,?,?,T1,?,?,2,A,15,7,21,NNP,4,PMOD,?,?,T1,?,?,2,A,15,HL-,?
9,21,VBD,16,OBJ,?,?,T1,?,?,2,A,15,8,21,c,3,P,?,?,T1,?,?,2,A,15,?,L*L-
10,21,cc,9,P,?,?,T1,?,?,2,A,15,9,21,VBD,16,OBJ,?,?,T1,?,?,2,A,15,L*L-,?
11,21,DT,13,NMOD,?,?,T1,?,?,2,A,15,10,21,cc,9,P,?,?,T1,?,?,2,A,15,?,?
12,21,JJ,13,NMOD,?,?,T1,?,?,2,A,15,11,21,DT,13,NMOD,?,?,T1,?,?,2,A,15,?,?
13,21,NNP,9,OBJ,?,?,T1,?,?,2,A,15,12,21,JJ,13,NMOD,?,?,T1,?,?,2,A,15,?,H*LH-
14,21,c,16,P,?,?,T1,?,?,2,A,15,13,21,NNP,9,OBJ,?,?,T1,?,?,2,A,15,H*LH-,?
15,21,cc,16,P,?,?,T1,?,?,2,A,15,14,21,c,16,P,?,?,T1,?,?,2,A,15,?,?
16,21,VBD,0,ROOT,?,?,R1,?,?,2,Z,6,15,21,cc,16,P,?,?,T1,?,?,2,A,15,?,?
17,21,DT,18,NMOD,?,?,R1,?,?,2,Z,6,16,21,VBD,0,ROOT,?,?,R1,?,?,2,Z,6,?,?
18,21,NN,16,SBJ,?,?,R1,?,?,2,Z,6,17,21,DT,18,NMOD,?,?,R1,?,?,2,Z,6,?,L*
19,21,IN,18,NMOD,?,?,R1,?,?,2,Z,6,18,21,NN,16,SBJ,?,?,R1,?,?,2,Z,6,L*,?
20,21,NN,19,PMOD,?,?,R1,?,?,2,Z,6,19,21,IN,18,NMOD,?,?,R1,?,?,2,Z,6,?,LL-
21,21,0.0,16,P,?,?,R1,?,?,2,Z,6,20,21,NN,19,PMOD,?,?,R1,?,?,2,Z,6,LL-,?
1,23,PRP,2,SBJ,?,?,T1,?,?,2,A,1,21,21,0.0,16,P,?,?,R1,?,?,2,Z,6,?,?
2,23,VBD,0,ROOT,?,?,R1,?,?,2,Z,22,1,23,PRP,2,SBJ,?,?,T1,?,?,2,A,1,?,H*
3,23,RBR,4,PMOD,?,?,R1,?,?,2,Z,22,2,23,VBD,0,ROOT,?,?,R1,?,?,2,Z,22,H*,?
4,23,IN,2,ADV,?,?,R1,?,?,2,Z,22,3,23,RBR,4,PMOD,?,?,R1,?,?,2,Z,22,?,?
5,23,DT,6,NMOD,?,?,R1,?,?,2,Z,22,4,23,IN,2,ADV,?,?,R1,?,?,2,Z,22,?,?
6,23,NN,4,PMOD,?,?,R1,?,?,2,Z,22,5,23,DT,6,NMOD,?,?,R1,?,?,2,Z,22,?,HL-
7,23,c,4,P,?,?,R1,?,?,2,Z,22,6,23,NN,4,PMOD,?,?,R1,?,?,2,Z,22,HL-,?
8,23,CC,4,COORD,?,?,R1,?,?,2,Z,22,7,23,c,4,P,?,?,R1,?,?,2,Z,22,?,?
9,23,DT,13,NMOD,?,?,R1,?,?,2,Z,22,8,23,CC,4,COORD,?,?,R1,?,?,2,Z,22,?,?
10,23,RB,11,AMOD,?,?,R1,?,?,2,Z,22,9,23,DT,13,NMOD,?,?,R1,?,?,2,Z,22,?,?
11,23,VBN,13,NMOD,?,?,R1,?,?,2,Z,22,10,23,RB,11,AMOD,?,?,R1,?,?,2,Z,22,?,?
12,23,NN,13,NMOD,?,?,R1,?,?,2,Z,22,11,23,VBN,13,NMOD,?,?,R1,?,?,2,Z,22,?,H*
13,23,NN,8,CONJ,?,?,R1,?,?,2,Z,22,12,23,NN,13,NMOD,?,?,R1,?,?,2,Z,22,H*,LL-
14,23,IN,13,NMOD,?,?,R1,?,?,2,Z,22,13,23,NN,8,CONJ,?,?,R1,?,?,2,Z,22,LL-,?
15,23,DT,17,NMOD,?,?,R1,?,?,2,Z,22,14,23,IN,13,NMOD,?,?,R1,?,?,2,Z,22,?,?
16,23,DT,17,NMOD,?,?,R1,?,?,2,Z,22,15,23,DT,17,NMOD,?,?,R1,?,?,2,Z,22,?,L*
17,23,NNS,14,PMOD,?,?,R1,?,?,2,Z,22,16,23,DT,17,NMOD,?,?,R1,?,?,2,Z,22,L*,LL-
18,23,c,4,P,?,?,R1,?,?,2,Z,22,17,23,NNS,14,PMOD,?,?,R1,?,?,2,Z,22,LL-,?
19,23,IN,4,PMOD,?,?,R1,?,?,2,Z,22,18,23,c,4,P,?,?,R1,?,?,2,Z,22,?,?
20,23,DT,22,NMOD,?,?,R1,?,?,2,Z,22,19,23,IN,4,PMOD,?,?,R1,?,?,2,Z,22,?,?
21,23,JJ,22,NMOD,?,?,R1,?,?,2,Z,22,20,23,DT,22,NMOD,?,?,R1,?,?,2,Z,22,?,L*
22,23,NN,19,PMOD,?,?,R1,?,?,2,Z,22,21,23,JJ,22,NMOD,?,?,R1,?,?,2,Z,22,L*,LL-
23,23,0.0,2,P,?,?,R1,?,?,2,Z,22,22,23,NN,19,PMOD,?,?,R1,?,?,2,Z,22,LL-,?
1,35,PRP,2,SBJ,?,?,T1,?,?,2,A,1,23,23,0.0,2,P,?,?,R1,?,?,2,Z,22,?,?
2,35,VBD,35,DEP,?,?,R1,?,?,2,Z,34,1,35,PRP,2,SBJ,?,?,T1,?,?,2,A,1,?,H*
3,35,IN,2,DIR,?,?,R1,?,?,2,Z,34,2,35,VBD,35,DEP,?,?,R1,?,?,2,Z,34,H*,LH-
4,35,NNP,6,NAME,?,?,R1,?,?,2,Z,34,3,35,IN,2,DIR,?,?,R1,?,?,2,Z,34,LH-,H*
5,35,HYPH,6,NAME,?,?,R1,?,?,2,Z,34,4,35,NNP,6,NAME,?,?,R1,?,?,2,Z,34,H*,?
6,35,NNP,10,NMOD,?,?,R1,?,?,2,Z,34,5,35,HYPH,6,NAME,?,?,R1,?,?,2,Z,34,?,LH-
7,35,POS,6,SUFFIX,?,?,R1,?,?,2,Z,34,6,35,NNP,10,NMOD,?,?,R1,?,?,2,Z,34,LH-,?
8,35,cc,10,P,?,?,R1,?,?,2,Z,34,7,35,POS,6,SUFFIX,?,?,R1,?,?,2,Z,34,?,?
9,35,DT,10,NMOD,?,?,R1,?,?,2,Z,34,8,35,cc,10,P,?,?,R1,?,?,2,Z,34,?,?
10,35,NN,3,PMOD,?,?,R1,?,?,2,Z,34,9,35,DT,10,NMOD,?,?,R1,?,?,2,Z,34,?,H*LH-
11,35,cc,10,P,?,?,R1,?,?,2,Z,34,10,35,NN,3,PMOD,?,?,R1,?,?,2,Z,34,H*LH-,?
12,35,IN,10,NMOD,?,?,R1,?,?,2,Z,34,11,35,cc,10,P,?,?,R1,?,?,2,Z,34,?,?
13,35,cc,12,P,?,?,R1,?,?,2,Z,34,12,35,IN,10,NMOD,?,?,R1,?,?,2,Z,34,?,?
14,35,NNP,35,DEP,?,?,R1,?,?,2,Z,34,13,35,cc,12,P,?,?,R1,?,?,2,Z,34,?,H*
15,35,IN,14,NMOD,?,?,R1,?,?,2,Z,34,14,35,NNP,35,DEP,?,?,R1,?,?,2,Z,34,H*,?
16,35,DT,17,NMOD,?,?,R1,?,?,2,Z,34,15,35,IN,14,NMOD,?,?,R1,?,?,2,Z,34,?,?
17,35,NNS,15,PMOD,?,?,R1,?,?,2,Z,34,16,35,DT,17,NMOD,?,?,R1,?,?,2,Z,34,?,LL-
18,35,c,35,P,?,?,R1,?,?,2,Z,34,17,35,NNS,15,PMOD,?,?,R1,?,?,2,Z,34,LL-,?
19,35,cc,35,DEP,?,?,R1,?,?,2,Z,34,18,35,c,35,P,?,?,R1,?,?,2,Z,34,?,?
20,35,DT,23,NMOD,?,?,R1,?,?,2,Z,34,19,35,cc,35,DEP,?,?,R1,?,?,2,Z,34,?,?
21,35,JJ,23,NMOD,?,?,R1,?,?,2,Z,34,20,35,DT,23,NMOD,?,?,R1,?,?,2,Z,34,?,?
22,35,NN,23,NMOD,?,?,R1,?,?,2,Z,34,21,35,JJ,23,NMOD,?,?,R1,?,?,2,Z,34,?,H*
23,35,NN,35,DEP,?,?,R1,?,?,2,Z,34,22,35,NN,23,NMOD,?,?,R1,?,?,2,Z,34,H*,?
24,35,IN,23,NMOD,?,?,R1,?,?,2,Z,34,23,35,NN,35,DEP,?,?,R1,?,?,2,Z,34,?,?
25,35,NNS,24,PMOD,?,?,R1,?,?,2,Z,34,24,35,IN,23,NMOD,?,?,R1,?,?,2,Z,34,?,LH-
26,35,c,23,P,?,?,R1,?,?,2,Z,34,25,35,NNS,24,PMOD,?,?,R1,?,?,2,Z,34,LH-,?
27,35,IN,23,NMOD,?,?,R1,?,?,2,Z,34,26,35,c,23,P,?,?,R1,?,?,2,Z,34,?,?
28,35,JJ,31,NMOD,?,?,R1,?,?,2,Z,34,27,35,IN,23,NMOD,?,?,R1,?,?,2,Z,34,?,L*+H
29,35,c,31,P,?,?,R1,?,?,2,Z,34,28,35,JJ,31,NMOD,?,?,R1,?,?,2,Z,34,L*+H,?
30,35,JJ,31,NMOD,?,?,R1,?,?,2,Z,34,29,35,c,31,P,?,?,R1,?,?,2,Z,34,?,?
31,35,NN,27,PMOD,?,?,R1,?,?,2,Z,34,30,35,JJ,31,NMOD,?,?,R1,?,?,2,Z,34,?,LH-
32,35,CC,31,COORD,?,?,R1,?,?,2,Z,34,31,35,NN,27,PMOD,?,?,R1,?,?,2,Z,34,LH-,?
33,35,DT,34,NMOD,?,?,R1,?,?,2,Z,34,32,35,CC,31,COORD,?,?,R1,?,?,2,Z,34,?,L*
34,35,NN,32,CONJ,?,?,R1,?,?,2,Z,34,33,35,DT,34,NMOD,?,?,R1,?,?,2,Z,34,L*,LL-
35,35,0.0,0,ROOT,?,?,R1,?,?,2,Z,34,34,35,NN,32,CONJ,?,?,R1,?,?,2,Z,34,LL-,?
1,27,NNP,2,TITLE,?,?,T1,?,?,2,A,2,35,35,0.0,0,ROOT,?,?,R1,?,?,2,Z,34,?,L*+H
2,27,NNP,3,SBJ,?,?,T1,?,?,2,A,2,1,27,NNP,2,TITLE,?,?,T1,?,?,2,A,2,L*+H,?
3,27,VBD,0,ROOT,?,?,R1,?,?,2,Z,25,2,27,NNP,3,SBJ,?,?,T1,?,?,2,A,2,?,?
4,27,PRP$,5,NMOD,?,?,R1,?,?,2,Z,25,3,27,VBD,0,ROOT,?,?,R1,?,?,2,Z,25,?,?
5,27,NNS,3,OBJ,?,?,R1,?,?,2,Z,25,4,27,PRP$,5,NMOD,?,?,R1,?,?,2,Z,25,?,HL-
6,27,:,5,P,?,?,R1,?,?,2,Z,25,5,27,NNS,3,OBJ,?,?,R1,?,?,2,Z,25,HL-,?
7,27,NNP,8,NAME,?,?,R1,?,?,2,Z,25,6,27,:,5,P,?,?,R1,?,?,2,Z,25,?,H*
8,27,NNP,5,APPO,?,?,R1,?,?,2,Z,25,7,27,NNP,8,NAME,?,?,R1,?,?,2,Z,25,H*,LH-
9,27,c,8,P,?,?,R1,?,?,2,Z,25,8,27,NNP,5,APPO,?,?,R1,?,?,2,Z,25,LH-,?
10,27,NN,8,APPO,?,?,R1,?,?,2,Z,25,9,27,c,8,P,?,?,R1,?,?,2,Z,25,?,L*+H
11,27,:,10,COORD,?,?,R1,?,?,2,Z,25,10,27,NN,8,APPO,?,?,R1,?,?,2,Z,25,L*+H,?
12,27,NN,11,CONJ,?,?,R1,?,?,2,Z,25,11,27,:,10,COORD,?,?,R1,?,?,2,Z,25,?,L*
13,27,:,12,COORD,?,?,R1,?,?,2,Z,25,12,27,NN,11,CONJ,?,?,R1,?,?,2,Z,25,L*,?
14,27,NN,13,CONJ,?,?,R1,?,?,2,Z,25,13,27,:,12,COORD,?,?,R1,?,?,2,Z,25,?,LH-
15,27,CC,8,COORD,?,?,R1,?,?,2,Z,25,14,27,NN,13,CONJ,?,?,R1,?,?,2,Z,25,LH-,?
16,27,DT,18,NMOD,?,?,R1,?,?,2,Z,25,15,27,CC,8,COORD,?,?,R1,?,?,2,Z,25,?,?
17,27,JJ,18,NMOD,?,?,R1,?,?,2,Z,25,16,27,DT,18,NMOD,?,?,R1,?,?,2,Z,25,?,H*
18,27,NN,15,CONJ,?,?,R1,?,?,2,Z,25,17,27,JJ,18,NMOD,?,?,R1,?,?,2,Z,25,H*,?
19,27,IN,3,ADV,?,?,R1,?,?,2,Z,25,18,27,NN,15,CONJ,?,?,R1,?,?,2,Z,25,?,?
20,27,NNP,19,PMOD,?,?,R1,?,?,2,Z,25,19,27,IN,3,ADV,?,?,R1,?,?,2,Z,25,?,LH-
21,27,c,3,P,?,?,R1,?,?,2,Z,25,20,27,NNP,19,PMOD,?,?,R1,?,?,2,Z,25,LH-,?
22,27,CC,3,COORD,?,?,R1,?,?,2,Z,25,21,27,c,3,P,?,?,R1,?,?,2,Z,25,?,?
23,27,NN,24,NMOD,?,?,R1,?,?,2,Z,25,22,27,CC,3,COORD,?,?,R1,?,?,2,Z,25,?,H*
24,27,NN,26,TITLE,?,?,R1,?,?,2,Z,25,23,27,NN,24,NMOD,?,?,R1,?,?,2,Z,25,H*,?
25,27,NNP,26,NAME,?,?,R1,?,?,2,Z,25,24,27,NN,26,TITLE,?,?,R1,?,?,2,Z,25,?,L*
26,27,NNP,22,CONJ,?,?,R1,?,?,2,Z,25,25,27,NNP,26,NAME,?,?,R1,?,?,2,Z,25,L*,LL-
27,27,0.0,3,P,?,?,R1,?,?,2,Z,25,26,27,NNP,22,CONJ,?,?,R1,?,?,2,Z,25,LL-,?
1,7,NNP,4,NMOD,?,?,T1,?,?,2,A,5,27,27,0.0,3,P,?,?,R1,?,?,2,Z,25,?,H*
2,7,POS,1,SUFFIX,?,?,T1,?,?,2,A,5,1,7,NNP,4,NMOD,?,?,T1,?,?,2,A,5,H*,?
3,7,cc,4,P,?,?,T1,?,?,2,A,5,2,7,POS,1,SUFFIX,?,?,T1,?,?,2,A,5,?,?
4,7,NN,6,SBJ,?,?,T1,?,?,2,A,5,3,7,cc,4,P,?,?,T1,?,?,2,A,5,?,L*
5,7,cc,4,P,?,?,T1,?,?,2,A,5,4,7,NN,6,SBJ,?,?,T1,?,?,2,A,5,L*,?
6,7,VBD,0,ROOT,?,?,R1,?,?,2,Z,2,5,7,cc,4,P,?,?,T1,?,?,2,A,5,?,LL-
7,7,0.0,6,P,?,?,R1,?,?,2,Z,2,6,7,VBD,0,ROOT,?,?,R1,?,?,2,Z,2,LL-,?
1,25,cc,3,P,?,?,T1,?,?,2,A,4,7,7,0.0,6,P,?,?,R1,?,?,2,Z,2,?,?
2,25,JJ,3,NMOD,?,?,T1,?,?,2,A,4,1,25,cc,3,P,?,?,T1,?,?,2,A,4,?,H*
3,25,NN,6,SBJ,?,?,T1,?,?,2,A,4,2,25,JJ,3,NMOD,?,?,T1,?,?,2,A,4,H*,HL-
4,25,cc,3,P,?,?,T1,?,?,2,A,4,3,25,NN,6,SBJ,?,?,T1,?,?,2,A,4,HL-,?
5,25,RB,6,ADV,?,?,R1,?,?,2,Z,21,4,25,cc,3,P,?,?,T1,?,?,2,A,4,?,?
6,25,VBD,0,ROOT,?,?,R1,?,?,2,Z,21,5,25,RB,6,ADV,?,?,R1,?,?,2,Z,21,?,?
7,25,DT,9,NMOD,?,?,R1,?,?,2,Z,21,6,25,VBD,0,ROOT,?,?,R1,?,?,2,Z,21,?,?
8,25,NN,9,NMOD,?,?,R1,?,?,2,Z,21,7,25,DT,9,NMOD,?,?,R1,?,?,2,Z,21,?,H*
9,25,NN,6,OBJ,?,?,R1,?,?,2,Z,21,8,25,NN,9,NMOD,?,?,R1,?,?,2,Z,21,H*,?
10,25,IN,9,NMOD,?,?,R1,?,?,2,Z,21,9,25,NN,6,OBJ,?,?,R1,?,?,2,Z,21,?,?
11,25,JJ,14,NMOD,?,?,R1,?,?,2,Z,21,10,25,IN,9,NMOD,?,?,R1,?,?,2,Z,21,?,L*+H
12,25,CC,11,COORD,?,?,R1,?,?,2,Z,21,11,25,JJ,14,NMOD,?,?,R1,?,?,2,Z,21,L*+H,?
13,25,JJ,12,CONJ,?,?,R1,?,?,2,Z,21,12,25,CC,11,COORD,?,?,R1,?,?,2,Z,21,?,?
14,25,NNS,10,PMOD,?,?,R1,?,?,2,Z,21,13,25,JJ,12,CONJ,?,?,R1,?,?,2,Z,21,?,?
15,25,IN,14,NMOD,?,?,R1,?,?,2,Z,21,14,25,NNS,10,PMOD,?,?,R1,?,?,2,Z,21,?,?
16,25,NNS,15,PMOD,?,?,R1,?,?,2,Z,21,15,25,IN,14,NMOD,?,?,R1,?,?,2,Z,21,?,LH-
17,25,c,16,P,?,?,R1,?,?,2,Z,21,16,25,NNS,15,PMOD,?,?,R1,?,?,2,Z,21,LH-,?
18,25,NNS,16,COORD,?,?,R1,?,?,2,Z,21,17,25,c,16,P,?,?,R1,?,?,2,Z,21,?,L*
19,25,c,18,P,?,?,R1,?,?,2,Z,21,18,25,NNS,16,COORD,?,?,R1,?,?,2,Z,21,L*,?
20,25,NNS,18,COORD,?,?,R1,?,?,2,Z,21,19,25,c,18,P,?,?,R1,?,?,2,Z,21,?,L*+H
21,25,c,20,P,?,?,R1,?,?,2,Z,21,20,25,NNS,18,COORD,?,?,R1,?,?,2,Z,21,L*+H,?
22,25,NNS,20,COORD,?,?,R1,?,?,2,Z,21,21,25,c,20,P,?,?,R1,?,?,2,Z,21,?,L*
23,25,c,22,P,?,?,R1,?,?,2,Z,21,22,25,NNS,20,COORD,?,?,R1,?,?,2,Z,21,L*,?
24,25,CC,22,COORD,?,?,R1,?,?,2,Z,21,23,25,c,22,P,?,?,R1,?,?,2,Z,21,?,LL-
25,25,0.0,6,P,?,?,R1,?,?,2,Z,21,24,25,CC,22,COORD,?,?,R1,?,?,2,Z,21,LL-,?
1,12,DT,2,SBJ,?,?,T1,?,?,2,A,1,25,25,0.0,6,P,?,?,R1,?,?,2,Z,21,?,H*
2,12,VBD,0,ROOT,?,?,R1,?,?,2,Z,11,1,12,DT,2,SBJ,?,?,T1,?,?,2,A,1,H*,?
3,12,IN,2,ADV,?,?,R1,?,?,2,Z,11,2,12,VBD,0,ROOT,?,?,R1,?,?,2,Z,11,?,?
4,12,DT,6,NMOD,?,?,R1,?,?,2,Z,11,3,12,IN,2,ADV,?,?,R1,?,?,2,Z,11,?,?
5,12,JJ,6,NMOD,?,?,R1,?,?,2,Z,11,4,12,DT,6,NMOD,?,?,R1,?,?,2,Z,11,?,?
6,12,NN,3,PMOD,?,?,R1,?,?,2,Z,11,5,12,JJ,6,NMOD,?,?,R1,?,?,2,Z,11,?,LH-
7,12,IN,6,NMOD,?,?,R1,?,?,2,Z,11,6,12,NN,3,PMOD,?,?,R1,?,?,2,Z,11,LH-,?
8,12,JJ,11,NMOD,?,?,R1,?,?,2,Z,11,7,12,IN,6,NMOD,?,?,R1,?,?,2,Z,11,?,L*
9,12,CC,8,COORD,?,?,R1,?,?,2,Z,11,8,12,JJ,11,NMOD,?,?,R1,?,?,2,Z,11,L*,?
10,12,JJ,9,CONJ,?,?,R1,?,?,2,Z,11,9,12,CC,8,COORD,?,?,R1,?,?,2,Z,11,?,?
11,12,NNS,7,PMOD,?,?,R1,?,?,2,Z,11,10,12,JJ,9,CONJ,?,?,R1,?,?,2,Z,11,?,LL-
12,12,0.0,2,P,?,?,R1,?,?,2,Z,11,11,12,NNS,7,PMOD,?,?,R1,?,?,2,Z,11,LL-,?
1,15,VBD,15,DEP,?,?,T1,?,?,4,A,2,12,12,0.0,2,P,?,?,R1,?,?,2,Z,11,?,?
2,15,DT,15,DEP,?,?,T1,?,?,4,A,2,1,15,VBD,15,DEP,?,?,T1,?,?,4,A,2,?,L*
3,15,WRB,8,PRP,P2,yes,R1,?,?,4,B,1,2,15,DT,15,DEP,?,?,T1,?,?,4,A,2,L*,H*
4,15,DT,8,SBJ,P2,yes,R1,T1,?,4,C,4,3,15,WRB,8,PRP,P2,yes,R1,?,?,4,B,1,H*,?
5,15,IN,4,NMOD,P2,yes,R1,T1,?,4,C,4,4,15,DT,8,SBJ,P2,yes,R1,T1,?,4,C,4,?,?
6,15,DT,7,NMOD,P2,yes,R1,T1,?,4,C,4,5,15,IN,4,NMOD,P2,yes,R1,T1,?,4,C,4,?,?
7,15,NN,5,PMOD,P2,yes,R1,T1,?,4,C,4,6,15,DT,7,NMOD,P2,yes,R1,T1,?,4,C,4,?,LH-
8,15,VBD,15,DEP,P2,yes,R1,R1,?,4,Z,8,7,15,NN,5,PMOD,P2,yes,R1,T1,?,4,C,4,LH-,L*+H
9,15,IN,8,TMP,P2,yes,R1,R1,?,4,Z,8,8,15,VBD,15,DEP,P2,yes,R1,R1,?,4,Z,8,L*+H,LH-
